Title,URL,Views,Channel,Upload Date,Duration
DeepSeek: What Actually Matters (for the everyday user),https://www.youtube.com/watch?v=wBi8IDngmiE&pp=ygUIRGVlcHNlZWs%3D,49K views,,13 days ago,
How to Build an AI App with DeepSeek Using No Code,https://www.youtube.com/watch?v=Voy28dhh0IU&pp=ygUIRGVlcHNlZWs%3D,71 views,,Streamed 12 hours ago,1:26:06
How to Use DeepSeek R1 for Free right now,https://www.youtube.com/watch?v=OuHFL71NHAM&pp=ygUIRGVlcHNlZWs%3D,126K views,,2 weeks ago,4:08
DEEPSEEK: A IA CHINESA QUE DERRETEU A BOLSA DE VALORES AMERICANA,https://www.youtube.com/watch?v=CDzMG1xNObA&pp=ygUIRGVlcHNlZWs%3D,84K views,,13 days ago,
"China’s DeepSeek Surprise | Trump calls China's DeepSeek AI a ""wake-up call"" | Samaa TV",https://www.youtube.com/shorts/r6yxJja0N0U,39K views,,2 weeks ago,
What is DeepSeek and how is it disrupting global tech?,https://www.youtube.com/watch?v=NlKvwAielgw&pp=ygUIRGVlcHNlZWs%3D,37K views,,2 weeks ago,2:50
Chi Tiết Cách Dùng DeepSeek Công Cụ AI Mới Khiến Thế Giới Chao Đảo Của Các Pháp Sư Trung Hoa,https://www.youtube.com/watch?v=FS99--qjwCw&pp=ygUIRGVlcHNlZWs%3D,104K views,,2 weeks ago,
DeepSeek for Coding 🤯,https://www.youtube.com/shorts/GPJ0Fcq9o8c,86K views,,2 weeks ago,
Anthropic CEO Reveals New Details About DeepSeek R1,https://www.youtube.com/watch?v=i-OAzG2mCUE&pp=ygUIRGVlcHNlZWs%3D,182K views,,2 weeks ago,24:22
Episodio de Emergencia: DeepSeek Puede Cambiarlo TODO - Jon Hernández #LFDE,https://www.youtube.com/watch?v=4P9_eMF-Cic&pp=ygUIRGVlcHNlZWs%3D,235K views,,2 weeks ago,1:21:52
The CORRECT way to use Deepseek R1 with n8n #aiagents #artificialintelligence #ai #nocode #n8n,https://www.youtube.com/shorts/FNxHCQxTC8A,2.3K views,,3 weeks ago,
方脸说：DeepSeek实现了弯道超车了吗？DeepSeek是剽窃还是创新？DeepSeek到底现在是什么水平？知识蒸馏丨chatgpt,https://www.youtube.com/watch?v=lrk4KmI4kig&pp=ygUIRGVlcHNlZWs%3D,168K views,,2 weeks ago,15:05
ŠOKUJÍCÍ: DeepSeek AI (ZDARMA) právě PŘEKONALA ChatGPT-4 a Claude Sonnet 3.5! 🔥,https://www.youtube.com/watch?v=bmknoW1LORY&pp=ygUIRGVlcHNlZWs%3D,14K views,,1 month ago,
扎克伯格稱DeepSeek很先進，中美AI差距非常小。 #中國 #美國 #china #deepseek #ai #zuckerberg,https://www.youtube.com/shorts/hG4tGl0s7XU,408K views,,3 weeks ago,
ChatGPT vs DeepSeek: CRAZY Chess,https://www.youtube.com/watch?v=JHq4EKMg7fI&pp=ygUIRGVlcHNlZWs%3D,1.5M views,,2 weeks ago,
